firma;land;ort;typ;kategorie;kontaktperson;kanal;letzter_kontakt;artikel;preis;moq;musterkosten;musterzeit;lieferzeit;zahlung;incoterm;status;naechster_schritt;faellig;quelle;notiz
Yuanshi Zhengheng Textile;CN;Yuanshi, Hebei;Fabrik seit 2008, >100 MA, ISO 9001/14001/45001;Mikrofaser;;zhenghengtextile.com;;MF-01, MF-02, MF-03;;variabel je Farbe;;;;;;neu;RFQ senden, 80/20 + Silikonfreiheit fordern;;zhenghengtextile.com;1200 GSM Twisted Loop belegt - Standardware teils ohne MOQ
Suzhou Juhao Clean New Materials;CN;Suzhou, Jiangsu;Fabrik seit 2009, eigene Webstuehle, 20.000 qm;Mikrofaser;;juhaoclean.com;;MF-01, MF-04;;k. A.;;;;;;neu;RFQ senden;;juhaoclean.com;ISO 9001, BSCI, GRS, OEKO-TEX, Sedex (Eigenangabe)
Shijiazhuang Aose (AOSE CLEAN);CN;Shijiazhuang, Hebei;Fabrik, ~150 MA, 4.000 qm;Mikrofaser;;aosehometex.com;;MF-03;;k. A.;;;;;;neu;RFQ Lackierer-Poliertuch, Pruefnachweis Silikonfreiheit;;aosehometex.com;nennt Silikon-Kreuzkontamination von sich aus - erste Adresse fuer MF-03
Shijiazhuang Deyuan Textile;CN;Jinzhou, Hebei;Fabrik, 75 MA, eigene Web- und Wirkmaschinen;Mikrofaser;;deyuantextile.com;;MF-02;;k. A.;;;;;;neu;RFQ senden;;deyuantextile.com;Gruendungsjahr widerspruechlich (2017 vs. 20 Jahre) - pruefen
Hebei Jiexu Commerce;CN;Hebei;Fabrik seit 2005, 61 MA;Mikrofaser;;jiexutowel.com;;MF-01;;k. A.;;;;;;neu;RFQ senden;;jiexutowel.com;400 GSM, sonic-/lasergeschnittene Kante
Shijiazhuang Pengtuan (ROC Goods);CN;Shijiazhuang;vermutlich Handelsfirma;Mikrofaser + Zubehoer;;rocgoods.com;;MF-*, ZB-01, ZB-02;;k. A.;;;;;;rueckfall;nur falls Prio 1/2 ausfallen;;rocgoods.com;Vollsortiment aus einer Hand, dafuer Haendleraufschlag
Zhejiang Sanle Plastic;CN;Taizhou, Zhejiang;Fabrik, 2 Werke >40.000 qm, ISO 9001/14001, BSCI;Spruehflaschen;;sanleplastics.com;;ZB-03;;k. A.;;;;;;neu;RFQ 500 ml HDPE + EPDM/Viton-Trigger;;sanleplastics.com;eigene Blasform und Spritzguss - Bedruckung nicht belegt
Shenzhen Zhenghao Plastic & Mold;CN;Shenzhen;Fabrik seit 2007, eigener Formenbau + Drucklinie;Spruehflaschen;;zhenghaopackaging.com;;ZB-03;;k. A.;;;;;;neu;RFQ 500/750 ml inkl. Direktdruck;;zhenghaopackaging.com;Druck im Haus = Private Label aus einer Hand
Guangzhou Shundi;CN;Guangzhou;Fabrik, Spritzguss 63-2500 t, 5.000 qm;Spruehflaschen + Kanister;;made-in-china.com;;ZB-03, Kanister;;kleine MOQ moeglich;;;;;;neu;RFQ mit Startmenge 500-2.000;;made-in-china.com;einziger Kandidat mit Hinweis auf kleine MOQ
Suzhou Innovation Packaging (Innopack);CN;Suzhou, Jiangsu;Fabrik, ~70 MA, seit 2013, SGS/ISO 9001;Kanister;;sz-innovation.en.made-in-china.com;;Kanister 5/10 l;;k. A.;;;;;;neu;RFQ Werkstattgebinde;;sz-innovation.en.made-in-china.com;HDPE 5/10/20/25 l
